Date,Object,Index,Name,NewStat,NewCt,NewTm,Note
01/15/2014 12:42:44.099 AM,DI,4,UNITS RETURNED,0,7433,63832,DI Change
01/15/2014 12:42:44.973 AM,DI,2,FIXTURES CLAMPLED,0,7437,57665,DI Change
01/15/2014 12:42:56.218 AM,DI,1,INDEX COMLPETE,0,7356,23140,DI Change
01/15/2014 12:42:56.331 AM,DI,4,UNITS RETURNED,1,7434,63832,DI Change
01/15/2014 12:42:58.079 AM,DI,2,FIXTURES CLAMPLED,1,7438,57665,DI Change
01/15/2014 12:43:02.224 AM,DI,1,INDEX COMLPETE,1,7357,23140,DI Change
01/15/2014 12:43:02.243 AM,DI,4,UNITS RETURNED,0,7434,63838,DI Change
01/15/2014 12:43:03.210 AM,DI,2,FIXTURES CLAMPLED,0,7438,57671,DI Change
01/15/2014 12:43:14.567 AM,DI,1,INDEX COMLPETE,0,7357,23153,DI Change
01/15/2014 12:43:14.587 AM,DI,4,UNITS RETURNED,1,7435,63838,DI Change
01/15/2014 12:43:16.643 AM,DI,2,FIXTURES CLAMPLED,1,7439,57671,DI Change
01/15/2014 12:43:20.797 AM,DI,1,INDEX COMLPETE,1,7358,23153,DI Change
01/15/2014 12:43:20.904 AM,DI,4,UNITS RETURNED,0,7435,63845,DI Change
01/15/2014 12:43:21.885 AM,DI,2,FIXTURES CLAMPLED,0,7439,57676,DI Change
01/15/2014 12:43:32.809 AM,DI,1,INDEX COMLPETE,0,7358,23165,DI Change
01/15/2014 12:43:32.918 AM,DI,4,UNITS RETURNED,1,7436,63845,DI Change
01/15/2014 12:43:35.316 AM,DI,2,FIXTURES CLAMPLED,1,7440,57676,DI Change
01/15/2014 12:43:39.575 AM,DI,1,INDEX COMLPETE,1,7359,23165,DI Change
01/15/2014 12:43:39.595 AM,DI,4,UNITS RETURNED,0,7436,63851,DI Change
01/15/2014 12:43:40.560 AM,DI,2,FIXTURES CLAMPLED,0,7440,57681,DI Change
01/15/2014 12:43:51.811 AM,DI,1,INDEX COMLPETE,0,7359,23177,DI Change
01/15/2014 12:43:51.920 AM,DI,4,UNITS RETURNED,1,7437,63851,DI Change
01/15/2014 12:43:53.881 AM,DI,2,FIXTURES CLAMPLED,1,7441,57681,DI Change
01/15/2014 12:43:57.816 AM,DI,1,INDEX COMLPETE,1,7360,23177,DI Change
01/15/2014 12:43:57.925 AM,DI,4,UNITS RETURNED,0,7437,63857,DI Change
01/15/2014 12:43:58.804 AM,DI,2,FIXTURES CLAMPLED,0,7441,57686,DI Change
01/15/2014 12:44:09.717 AM,DI,1,INDEX COMLPETE,0,7360,23189,DI Change
01/15/2014 12:44:09.829 AM,DI,4,UNITS RETURNED,1,7438,63857,DI Change
01/15/2014 12:44:12.230 AM,DI,2,FIXTURES CLAMPLED,1,7442,57686,DI Change
01/15/2014 12:44:18.998 AM,DI,1,INDEX COMLPETE,1,7361,23189,DI Change
01/15/2014 12:44:19.114 AM,DI,4,UNITS RETURNED,0,7438,63867,DI Change
01/15/2014 12:44:20.091 AM,DI,2,FIXTURES CLAMPLED,0,7442,57694,DI Change
01/15/2014 12:44:31.230 AM,DI,1,INDEX COMLPETE,0,7361,23201,DI Change
01/15/2014 12:44:31.343 AM,DI,4,UNITS RETURNED,1,7439,63867,DI Change
01/15/2014 12:44:33.414 AM,DI,2,FIXTURES CLAMPLED,1,7443,57694,DI Change
01/15/2014 12:44:37.564 AM,DI,1,INDEX COMLPETE,1,7362,23201,DI Change
01/15/2014 12:44:37.584 AM,DI,4,UNITS RETURNED,0,7439,63873,DI Change
01/15/2014 12:44:38.548 AM,DI,2,FIXTURES CLAMPLED,0,7443,57699,DI Change
01/15/2014 12:44:49.686 AM,DI,1,INDEX COMLPETE,0,7362,23213,DI Change
01/15/2014 12:44:49.706 AM,DI,4,UNITS RETURNED,1,7440,63873,DI Change
01/15/2014 12:44:51.652 AM,DI,2,FIXTURES CLAMPLED,1,7444,57699,DI Change
01/15/2014 12:44:55.803 AM,DI,1,INDEX COMLPETE,1,7363,23213,DI Change
01/15/2014 12:44:55.823 AM,DI,4,UNITS RETURNED,0,7440,63879,DI Change
01/15/2014 12:44:56.785 AM,DI,2,FIXTURES CLAMPLED,0,7444,57704,DI Change
01/15/2014 12:45:07.816 AM,DI,1,INDEX COMLPETE,0,7363,23225,DI Change
01/15/2014 12:45:07.925 AM,DI,4,UNITS RETURNED,1,7441,63879,DI Change
01/15/2014 12:45:09.670 AM,DI,2,FIXTURES CLAMPLED,1,7445,57704,DI Change
01/15/2014 12:45:13.713 AM,DI,1,INDEX COMLPETE,1,7364,23225,DI Change
01/15/2014 12:45:13.822 AM,DI,4,UNITS RETURNED,0,7441,63885,DI Change
01/15/2014 12:45:14.693 AM,DI,2,FIXTURES CLAMPLED,0,7445,57709,DI Change
01/15/2014 12:45:25.832 AM,DI,1,INDEX COMLPETE,0,7364,23238,DI Change
01/15/2014 12:45:25.950 AM,DI,4,UNITS RETURNED,1,7442,63885,DI Change
01/15/2014 12:45:27.476 AM,DI,2,FIXTURES CLAMPLED,1,7446,57709,DI Change
01/15/2014 12:45:31.620 AM,DI,1,INDEX COMLPETE,1,7365,23238,DI Change
01/15/2014 12:45:31.732 AM,DI,4,UNITS RETURNED,0,7442,63891,DI Change
01/15/2014 12:45:32.603 AM,DI,2,FIXTURES CLAMPLED,0,7446,57714,DI Change
01/15/2014 12:45:43.741 AM,DI,1,INDEX COMLPETE,0,7365,23250,DI Change
01/15/2014 12:45:43.854 AM,DI,4,UNITS RETURNED,1,7443,63891,DI Change
01/15/2014 12:45:45.381 AM,DI,2,FIXTURES CLAMPLED,1,7447,57714,DI Change
01/15/2014 12:45:49.206 AM,DI,1,INDEX COMLPETE,1,7366,23250,DI Change
01/15/2014 12:45:49.315 AM,DI,4,UNITS RETURNED,0,7443,63896,DI Change
01/15/2014 12:45:50.295 AM,DI,2,FIXTURES CLAMPLED,0,7447,57719,DI Change
01/15/2014 12:46:01.330 AM,DI,1,INDEX COMLPETE,0,7366,23262,DI Change
01/15/2014 12:46:01.347 AM,DI,4,UNITS RETURNED,1,7444,63896,DI Change
01/15/2014 12:46:03.071 AM,DI,2,FIXTURES CLAMPLED,1,7448,57719,DI Change
01/15/2014 12:46:07.113 AM,DI,1,INDEX COMLPETE,1,7367,23262,DI Change
01/15/2014 12:46:07.230 AM,DI,4,UNITS RETURNED,0,7444,63902,DI Change
01/15/2014 12:46:08.205 AM,DI,2,FIXTURES CLAMPLED,0,7448,57724,DI Change
01/15/2014 12:46:19.124 AM,DI,1,INDEX COMLPETE,0,7367,23274,DI Change
01/15/2014 12:46:19.236 AM,DI,4,UNITS RETURNED,1,7445,63902,DI Change
01/15/2014 12:46:21.091 AM,DI,2,FIXTURES CLAMPLED,1,7449,57724,DI Change
01/15/2014 12:46:25.349 AM,DI,1,INDEX COMLPETE,1,7368,23274,DI Change
01/15/2014 12:46:25.369 AM,DI,4,UNITS RETURNED,0,7445,63908,DI Change
01/15/2014 12:46:26.334 AM,DI,2,FIXTURES CLAMPLED,0,7449,57729,DI Change
01/15/2014 12:46:37.583 AM,DI,1,INDEX COMLPETE,0,7368,23286,DI Change
01/15/2014 12:46:37.603 AM,DI,4,UNITS RETURNED,1,7446,63908,DI Change
01/15/2014 12:46:39.334 AM,DI,2,FIXTURES CLAMPLED,1,7450,57729,DI Change
01/15/2014 12:46:43.480 AM,DI,1,INDEX COMLPETE,1,7369,23286,DI Change
01/15/2014 12:46:43.500 AM,DI,4,UNITS RETURNED,0,7446,63914,DI Change
01/15/2014 12:46:44.460 AM,DI,2,FIXTURES CLAMPLED,0,7450,57735,DI Change
01/15/2014 12:46:55.817 AM,DI,1,INDEX COMLPETE,0,7369,23298,DI Change
01/15/2014 12:46:55.932 AM,DI,4,UNITS RETURNED,1,7447,63914,DI Change
01/15/2014 12:46:57.456 AM,DI,2,FIXTURES CLAMPLED,1,7451,57735,DI Change
01/15/2014 12:47:01.387 AM,DI,1,INDEX COMLPETE,1,7370,23298,DI Change
01/15/2014 12:47:01.406 AM,DI,4,UNITS RETURNED,0,7447,63920,DI Change
01/15/2014 12:47:02.370 AM,DI,2,FIXTURES CLAMPLED,0,7451,57739,DI Change
01/15/2014 12:47:13.399 AM,DI,1,INDEX COMLPETE,0,7370,23310,DI Change
01/15/2014 12:47:13.421 AM,DI,4,UNITS RETURNED,1,7448,63920,DI Change
01/15/2014 12:47:15.475 AM,DI,2,FIXTURES CLAMPLED,1,7452,57739,DI Change
01/15/2014 12:47:19.406 AM,DI,1,INDEX COMLPETE,1,7371,23310,DI Change
01/15/2014 12:47:19.426 AM,DI,4,UNITS RETURNED,0,7448,63926,DI Change
01/15/2014 12:47:20.390 AM,DI,2,FIXTURES CLAMPLED,0,7452,57744,DI Change
01/15/2014 12:47:31.527 AM,DI,1,INDEX COMLPETE,0,7371,23322,DI Change
01/15/2014 12:47:31.638 AM,DI,4,UNITS RETURNED,1,7449,63926,DI Change
01/15/2014 12:47:33.604 AM,DI,2,FIXTURES CLAMPLED,1,7453,57744,DI Change
01/15/2014 12:47:37.538 AM,DI,1,INDEX COMLPETE,1,7372,23322,DI Change
01/15/2014 12:47:37.557 AM,DI,4,UNITS RETURNED,0,7449,63931,DI Change
01/15/2014 12:47:38.520 AM,DI,2,FIXTURES CLAMPLED,0,7453,57749,DI Change
01/15/2014 12:47:49.443 AM,DI,1,INDEX COMLPETE,0,7372,23334,DI Change
01/15/2014 12:47:49.550 AM,DI,4,UNITS RETURNED,1,7450,63931,DI Change
01/15/2014 12:47:51.627 AM,DI,2,FIXTURES CLAMPLED,1,7454,57749,DI Change
01/15/2014 12:47:55.772 AM,DI,1,INDEX COMLPETE,1,7373,23334,DI Change
01/15/2014 12:47:55.791 AM,DI,4,UNITS RETURNED,0,7450,63938,DI Change
01/15/2014 12:47:56.755 AM,DI,2,FIXTURES CLAMPLED,0,7454,57754,DI Change
01/15/2014 12:48:07.895 AM,DI,1,INDEX COMLPETE,0,7373,23346,DI Change
01/15/2014 12:48:07.914 AM,DI,4,UNITS RETURNED,1,7451,63938,DI Change
01/15/2014 12:48:09.532 AM,DI,2,FIXTURES CLAMPLED,1,7455,57754,DI Change
01/15/2014 12:48:13.573 AM,DI,1,INDEX COMLPETE,1,7374,23346,DI Change
01/15/2014 12:48:13.593 AM,DI,4,UNITS RETURNED,0,7451,63943,DI Change
01/15/2014 12:48:14.560 AM,DI,2,FIXTURES CLAMPLED,0,7455,57759,DI Change
01/15/2014 12:48:25.804 AM,DI,1,INDEX COMLPETE,0,7374,23359,DI Change
01/15/2014 12:48:25.824 AM,DI,4,UNITS RETURNED,1,7452,63943,DI Change
01/15/2014 12:48:27.223 AM,DI,2,FIXTURES CLAMPLED,1,7456,57759,DI Change
01/15/2014 12:48:31.378 AM,DI,1,INDEX COMLPETE,1,7375,23359,DI Change
01/15/2014 12:48:31.397 AM,DI,4,UNITS RETURNED,0,7452,63949,DI Change
01/15/2014 12:48:32.356 AM,DI,2,FIXTURES CLAMPLED,0,7456,57765,DI Change
01/15/2014 12:48:43.497 AM,DI,1,INDEX COMLPETE,0,7375,23371,DI Change
01/15/2014 12:48:43.517 AM,DI,4,UNITS RETURNED,1,7453,63949,DI Change
01/15/2014 12:48:44.914 AM,DI,2,FIXTURES CLAMPLED,1,7457,57765,DI Change
01/15/2014 12:48:48.955 AM,DI,1,INDEX COMLPETE,1,7376,23371,DI Change
01/15/2014 12:48:48.974 AM,DI,4,UNITS RETURNED,0,7453,63955,DI Change
01/15/2014 12:48:49.943 AM,DI,2,FIXTURES CLAMPLED,0,7457,57770,DI Change
01/15/2014 12:49:01.078 AM,DI,1,INDEX COMLPETE,0,7376,23383,DI Change
01/15/2014 12:49:01.093 AM,DI,4,UNITS RETURNED,1,7454,63955,DI Change
01/15/2014 12:49:02.826 AM,DI,2,FIXTURES CLAMPLED,1,7458,57770,DI Change
01/15/2014 12:49:06.647 AM,DI,1,INDEX COMLPETE,1,7377,23383,DI Change
01/15/2014 12:49:06.666 AM,DI,4,UNITS RETURNED,0,7454,63960,DI Change
01/15/2014 12:49:07.632 AM,DI,2,FIXTURES CLAMPLED,0,7458,57774,DI Change
01/15/2014 12:49:18.772 AM,DI,1,INDEX COMLPETE,0,7377,23395,DI Change
01/15/2014 12:49:18.791 AM,DI,4,UNITS RETURNED,1,7455,63960,DI Change
01/15/2014 12:49:20.624 AM,DI,2,FIXTURES CLAMPLED,1,7459,57774,DI Change
01/15/2014 12:49:24.447 AM,DI,1,INDEX COMLPETE,1,7378,23395,DI Change
01/15/2014 12:49:24.560 AM,DI,4,UNITS RETURNED,0,7455,63966,DI Change
01/15/2014 12:49:25.431 AM,DI,2,FIXTURES CLAMPLED,0,7459,57779,DI Change
01/15/2014 12:49:36.461 AM,DI,1,INDEX COMLPETE,0,7378,23407,DI Change
01/15/2014 12:49:36.571 AM,DI,4,UNITS RETURNED,1,7456,63966,DI Change
01/15/2014 12:49:38.430 AM,DI,2,FIXTURES CLAMPLED,1,7460,57779,DI Change
01/15/2014 12:49:42.358 AM,DI,1,INDEX COMLPETE,1,7379,23407,DI Change
01/15/2014 12:49:42.377 AM,DI,4,UNITS RETURNED,0,7456,63972,DI Change
01/15/2014 12:49:43.343 AM,DI,2,FIXTURES CLAMPLED,0,7460,57784,DI Change
01/15/2014 12:49:54.478 AM,DI,1,INDEX COMLPETE,0,7379,23419,DI Change
01/15/2014 12:49:54.498 AM,DI,4,UNITS RETURNED,1,7457,63972,DI Change
01/15/2014 12:49:56.230 AM,DI,2,FIXTURES CLAMPLED,1,7461,57784,DI Change
01/15/2014 12:50:00.049 AM,DI,1,INDEX COMLPETE,1,7380,23419,DI Change
01/15/2014 12:50:00.164 AM,DI,4,UNITS RETURNED,0,7457,63977,DI Change
01/15/2014 12:50:01.031 AM,DI,2,FIXTURES CLAMPLED,0,7461,57789,DI Change
01/15/2014 12:50:12.172 AM,DI,1,INDEX COMLPETE,0,7380,23431,DI Change
01/15/2014 12:50:12.192 AM,DI,4,UNITS RETURNED,1,7458,63977,DI Change
01/15/2014 12:50:14.026 AM,DI,2,FIXTURES CLAMPLED,1,7462,57789,DI Change
01/15/2014 12:50:18.070 AM,DI,1,INDEX COMLPETE,1,7381,23431,DI Change
01/15/2014 12:50:18.089 AM,DI,4,UNITS RETURNED,0,7458,63983,DI Change
01/15/2014 12:50:19.052 AM,DI,2,FIXTURES CLAMPLED,0,7462,57794,DI Change
01/15/2014 12:50:29.861 AM,DI,1,INDEX COMLPETE,0,7381,23443,DI Change
01/15/2014 12:50:29.978 AM,DI,4,UNITS RETURNED,1,7459,63983,DI Change
01/15/2014 12:50:32.372 AM,DI,2,FIXTURES CLAMPLED,1,7463,57794,DI Change
01/15/2014 12:50:36.303 AM,DI,1,INDEX COMLPETE,1,7382,23443,DI Change
01/15/2014 12:50:36.323 AM,DI,4,UNITS RETURNED,0,7459,63990,DI Change
01/15/2014 12:50:37.287 AM,DI,2,FIXTURES CLAMPLED,0,7463,57799,DI Change
01/15/2014 12:50:47.992 AM,DI,1,INDEX COMLPETE,0,7382,23455,DI Change
01/15/2014 12:50:48.011 AM,DI,4,UNITS RETURNED,1,7460,63990,DI Change
01/15/2014 12:50:50.177 AM,DI,2,FIXTURES CLAMPLED,1,7464,57799,DI Change
01/15/2014 12:50:53.888 AM,DI,1,INDEX COMLPETE,1,7383,23455,DI Change
01/15/2014 12:50:53.908 AM,DI,4,UNITS RETURNED,0,7460,63995,DI Change
01/15/2014 12:50:54.870 AM,DI,2,FIXTURES CLAMPLED,0,7464,57804,DI Change
01/15/2014 12:51:06.116 AM,DI,1,INDEX COMLPETE,0,7383,23467,DI Change
01/15/2014 12:51:06.136 AM,DI,4,UNITS RETURNED,1,7461,63995,DI Change
01/15/2014 12:51:07.427 AM,DI,2,FIXTURES CLAMPLED,1,7465,57804,DI Change
01/15/2014 12:51:11.473 AM,DI,1,INDEX COMLPETE,1,7384,23467,DI Change
01/15/2014 12:51:11.492 AM,DI,4,UNITS RETURNED,0,7461,64001,DI Change
01/15/2014 12:51:12.450 AM,DI,2,FIXTURES CLAMPLED,0,7465,57809,DI Change
01/15/2014 12:51:23.590 AM,DI,1,INDEX COMLPETE,0,7384,23479,DI Change
01/15/2014 12:51:23.610 AM,DI,4,UNITS RETURNED,1,7462,64001,DI Change
01/15/2014 12:51:25.015 AM,DI,2,FIXTURES CLAMPLED,1,7466,57809,DI Change
01/15/2014 12:51:29.161 AM,DI,1,INDEX COMLPETE,1,7385,23479,DI Change
01/15/2014 12:51:29.180 AM,DI,4,UNITS RETURNED,0,7462,64006,DI Change
01/15/2014 12:51:30.142 AM,DI,2,FIXTURES CLAMPLED,0,7466,57814,DI Change
01/15/2014 12:51:40.844 AM,DI,1,INDEX COMLPETE,0,7385,23491,DI Change
01/15/2014 12:51:40.958 AM,DI,4,UNITS RETURNED,1,7463,64006,DI Change
01/15/2014 12:51:43.028 AM,DI,2,FIXTURES CLAMPLED,1,7467,57814,DI Change
01/15/2014 12:51:46.960 AM,DI,1,INDEX COMLPETE,1,7386,23491,DI Change
01/15/2014 12:51:46.980 AM,DI,4,UNITS RETURNED,0,7463,64013,DI Change
01/15/2014 12:51:47.948 AM,DI,2,FIXTURES CLAMPLED,0,7467,57819,DI Change
01/15/2014 12:51:58.862 AM,DI,1,INDEX COMLPETE,0,7386,23503,DI Change
01/15/2014 12:51:58.975 AM,DI,4,UNITS RETURNED,1,7464,64013,DI Change
01/15/2014 12:52:00.942 AM,DI,2,FIXTURES CLAMPLED,1,7468,57819,DI Change
01/15/2014 12:52:04.868 AM,DI,1,INDEX COMLPETE,1,7387,23503,DI Change
01/15/2014 12:52:04.887 AM,DI,4,UNITS RETURNED,0,7464,64019,DI Change
01/15/2014 12:52:05.852 AM,DI,2,FIXTURES CLAMPLED,0,7468,57823,DI Change
01/15/2014 12:52:16.881 AM,DI,1,INDEX COMLPETE,0,7387,23515,DI Change
01/15/2014 12:52:16.901 AM,DI,4,UNITS RETURNED,1,7465,64019,DI Change
01/15/2014 12:52:19.068 AM,DI,2,FIXTURES CLAMPLED,1,7469,57823,DI Change
01/15/2014 12:52:22.778 AM,DI,1,INDEX COMLPETE,1,7388,23515,DI Change
01/15/2014 12:52:22.797 AM,DI,4,UNITS RETURNED,0,7465,64024,DI Change
01/15/2014 12:52:23.761 AM,DI,2,FIXTURES CLAMPLED,0,7469,57828,DI Change
01/15/2014 12:52:34.899 AM,DI,1,INDEX COMLPETE,0,7388,23527,DI Change
01/15/2014 12:52:34.919 AM,DI,4,UNITS RETURNED,1,7466,64024,DI Change
01/15/2014 12:52:36.977 AM,DI,2,FIXTURES CLAMPLED,1,7470,57828,DI Change
01/15/2014 12:52:40.691 AM,DI,1,INDEX COMLPETE,1,7389,23527,DI Change
01/15/2014 12:52:40.711 AM,DI,4,UNITS RETURNED,0,7466,64030,DI Change
01/15/2014 12:52:41.677 AM,DI,2,FIXTURES CLAMPLED,0,7470,57833,DI Change
01/15/2014 12:52:52.813 AM,DI,1,INDEX COMLPETE,0,7389,23539,DI Change
01/15/2014 12:52:52.833 AM,DI,4,UNITS RETURNED,1,7467,64030,DI Change
01/15/2014 12:52:54.997 AM,DI,2,FIXTURES CLAMPLED,1,7471,57833,DI Change
01/15/2014 12:52:59.034 AM,DI,1,INDEX COMLPETE,1,7390,23539,DI Change
01/15/2014 12:52:59.053 AM,DI,4,UNITS RETURNED,0,7467,64036,DI Change
01/15/2014 12:53:00.020 AM,DI,2,FIXTURES CLAMPLED,0,7471,57838,DI Change
01/15/2014 12:53:11.265 AM,DI,1,INDEX COMLPETE,0,7390,23551,DI Change
01/15/2014 12:53:12.691 AM,DI,2,FIXTURES CLAMPLED,1,7472,57838,DI Change
01/15/2014 12:53:16.616 AM,DI,1,INDEX COMLPETE,1,7391,23551,DI Change
01/15/2014 12:53:16.636 AM,DI,4,UNITS RETURNED,0,7468,64042,DI Change
01/15/2014 12:53:17.600 AM,DI,2,FIXTURES CLAMPLED,0,7472,57843,DI Change
01/15/2014 12:53:28.524 AM,DI,1,INDEX COMLPETE,0,7391,23563,DI Change
01/15/2014 12:53:28.544 AM,DI,4,UNITS RETURNED,1,7469,64042,DI Change
01/15/2014 12:53:30.164 AM,DI,2,FIXTURES CLAMPLED,1,7473,57843,DI Change
01/15/2014 12:53:33.979 AM,DI,1,INDEX COMLPETE,1,7392,23563,DI Change
01/15/2014 12:53:33.998 AM,DI,4,UNITS RETURNED,0,7469,64047,DI Change
01/15/2014 12:53:34.969 AM,DI,2,FIXTURES CLAMPLED,0,7473,57848,DI Change
01/15/2014 12:53:45.890 AM,DI,1,INDEX COMLPETE,0,7392,23575,DI Change
01/15/2014 12:53:45.905 AM,DI,4,UNITS RETURNED,1,7470,64047,DI Change
01/15/2014 12:53:47.522 AM,DI,2,FIXTURES CLAMPLED,1,7474,57848,DI Change
01/15/2014 12:53:51.671 AM,DI,1,INDEX COMLPETE,1,7393,23575,DI Change
01/15/2014 12:53:51.785 AM,DI,4,UNITS RETURNED,0,7470,64053,DI Change
01/15/2014 12:53:52.658 AM,DI,2,FIXTURES CLAMPLED,0,7474,57853,DI Change
01/15/2014 12:54:03.798 AM,DI,1,INDEX COMLPETE,0,7393,23587,DI Change
01/15/2014 12:54:08.384 AM,DI,2,FIXTURES CLAMPLED,1,7475,57853,DI Change
01/15/2014 12:54:08.398 AM,DI,4,UNITS RETURNED,1,7471,64053,DI Change
01/15/2014 12:54:12.638 AM,DI,1,INDEX COMLPETE,1,7394,23587,DI Change
01/15/2014 12:54:12.755 AM,DI,4,UNITS RETURNED,0,7471,64057,DI Change
01/15/2014 12:54:13.731 AM,DI,2,FIXTURES CLAMPLED,0,7475,57858,DI Change
01/15/2014 12:54:24.541 AM,DI,1,INDEX COMLPETE,0,7394,23599,DI Change
